,precision,recall,f1-score,support
0,0.9705882352941176,0.99,0.9801980198019802,100.0
1,0.9387755102040817,0.92,0.9292929292929293,100.0
2,0.8737864077669902,0.9,0.8866995073891626,100.0
3,0.9484536082474226,0.92,0.934010152284264,100.0
accuracy,0.9325,0.9325,0.9325,0.9325
macro avg,0.932900940378153,0.9325,0.932550152192084,400.0
weighted avg,0.9329009403781531,0.9325,0.932550152192084,400.0
