,precision,recall,f1-score,support
0,0.9705882352941176,0.99,0.9801980198019802,100.0
1,0.9278350515463918,0.9,0.9137055837563451,100.0
2,0.8811881188118812,0.89,0.8855721393034826,100.0
3,0.95,0.95,0.95,100.0
accuracy,0.9325,0.9325,0.9325,0.9325
macro avg,0.9324028514130975,0.9325000000000001,0.9323689357154521,400.0
weighted avg,0.9324028514130975,0.9325,0.932368935715452,400.0
