,precision,recall,f1-score,support
0,0.9896907216494846,0.96,0.9746192893401016,100.0
1,0.95,0.95,0.95,100.0
2,0.95,0.95,0.95,100.0
3,0.9611650485436893,0.99,0.9753694581280788,100.0
accuracy,0.9625,0.9625,0.9625,0.9625
macro avg,0.9627139425482935,0.9624999999999999,0.962497186867045,400.0
weighted avg,0.9627139425482935,0.9625,0.9624971868670451,400.0
