,precision,recall,f1-score,support
0,0.9611650485436893,0.99,0.9753694581280788,100.0
1,0.9368421052631579,0.89,0.9128205128205128,100.0
2,0.8761904761904762,0.92,0.8975609756097561,100.0
3,0.9690721649484536,0.94,0.9543147208121827,100.0
accuracy,0.935,0.935,0.935,0.935
macro avg,0.9358174487364443,0.9349999999999999,0.9350164168426327,400.0
weighted avg,0.9358174487364442,0.935,0.9350164168426326,400.0
