,precision,recall,f1-score,support
0,0.9705882352941176,0.99,0.9801980198019802,100.0
1,0.9292929292929293,0.92,0.9246231155778895,100.0
2,0.8823529411764706,0.9,0.8910891089108911,100.0
3,0.9587628865979382,0.93,0.9441624365482234,100.0
accuracy,0.935,0.935,0.935,0.935
macro avg,0.9352492480903639,0.935,0.935018170209746,400.0
weighted avg,0.9352492480903639,0.935,0.935018170209746,400.0
