,precision,recall,f1-score,support
0,0.9611650485436893,0.99,0.9753694581280788,100.0
1,0.9175257731958762,0.89,0.9035532994923858,100.0
2,0.8557692307692307,0.89,0.8725490196078431,100.0
3,0.9583333333333334,0.92,0.9387755102040817,100.0
accuracy,0.9225,0.9225,0.9225,0.9225
macro avg,0.9231983464605324,0.9225,0.9225618218580974,400.0
weighted avg,0.9231983464605323,0.9225,0.9225618218580973,400.0
