,precision,recall,f1-score,support
0,0.98989898989899,0.98,0.9849246231155779,100.0
1,0.96,0.96,0.96,100.0
2,0.9494949494949495,0.94,0.9447236180904522,100.0
3,0.9607843137254902,0.98,0.9702970297029703,100.0
accuracy,0.965,0.965,0.965,0.965
macro avg,0.9650445632798574,0.965,0.9649863177272501,400.0
weighted avg,0.9650445632798573,0.965,0.9649863177272501,400.0
